Record label ID,Record label,Parent company ID,Logo URL
46,Eagle,2,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Eagle_Records_logo.jpg/180px-Eagle_Records_logo.jpg
47,Megaforce,7,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Logo_megaforce.png/250px-Logo_megaforce.png
48,Elektra,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Elektra_Records_EE_logo_2022_%28modified%29.svg/180px-Elektra_Records_EE_logo_2022_%28modified%29.svg.png
49,Motown,2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Motown_logo.svg/100px-Motown_logo.svg.png
50,Kobalt,7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Kobalt.svg/330px-Kobalt.svg.png
51,Apple,7,https://upload.wikimedia.org/wikipedia/en/0/04/Apple_Records.png
52,Concord Music,7,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/ConcordMG_logo_Final.jpg/330px-ConcordMG_logo_Final.jpg
53,LaFace,1,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/LaFace_Records_%28logo%29.png/270px-LaFace_Records_%28logo%29.png
54,Harvest,2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Harvest_Records_2013.svg/270px-Harvest_Records_2013.svg.png
55,A&M,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/A%26M_Records.svg/225px-A%26M_Records.svg.png
56,London,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/London_Recordings_logo.svg/270px-London_Recordings_logo.svg.png
57,Polydor,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Polydor_Logo_1963_001.svg/270px-Polydor_Logo_1963_001.svg.png
58,ABKCO,7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/ABKCO_Records_logo.svg/330px-ABKCO_Records_logo.svg.png
59,XO,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/XO_Records.png/270px-XO_Records.png
